Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
"AKADEMSKI KONZILIJARNI MEDICINSKI CENTAR ""SALATA""- POLIKLINIKA ZA KARDIOLOGIJU, INTERNU MEDICINU, RADIOLOGIJU I MED.BIOKEMIJU",GRAD ZAGREB,ZAGREB,ULICA VJENCESLAVA NOVAKA 17,10000,Poliklinika
"AKROMION SPECIJALNA BOLNICA ZA ORTOPEDIJU I TRAUMATOLOGIJU LOKOMOTORNOG SUSTAVA,FIZIKALNU MEDICINU I REHABILITACIJU",GRAD ZAGREB,ZAGREB,ULICA SAVEZNE REPUBLIKE NJEMACKE 5,10000,Specijalna bolnica
"AMBULANTA ALJMAS, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,ALJMAS,TRG BRACE RADICA 21,31205,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA KAMENJAK, ISTARSKIH DOMOVA ZDRAVLJA",ISTARSKA ZUPANIJA,PULA,ULICA KAMENJAK - VIA KAMENJAK 19,52100,Ambulanta doma zdravlja dislocirana jedinica
AMBULANTA KUTJEVO DOMA ZDRAVLJA POZESKO-SLAVONSKE zupanije,POZESKO-SLAVONSKA ZUPANIJA,KUTJEVO,EUGENA KVATERNIKA 1,34340,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ULICA CARA HADRIJANA, DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,ULICA CARA HADRIJANA 10 E,31000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""BANIJA"" DOM ZDRAVLJA KARLOVAC",KARLOVACKA ZUPANIJA,KARLOVAC,GAJE PETROVICA 2,47000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""CESMA"", DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,SLAVONSKA CESTA 17,43000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""METERIZE"" DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,PUT KROZ METERIZE 31,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""RAKOVAC 1"", DOM ZDRAVLJA KARLOVAC",KARLOVACKA ZUPANIJA,KARLOVAC,IZIDORA KRSNJAVOG 1,47000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""REMONT"" DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,MANDALINSKIH ZRTAVA BB,22000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""SIRELA"", DOMA ZDRAVLJA BJELOVARSKO-BILOGORSKE zupanije",BJELOVARSKO-BILOGORSKA ZUPANIJA,BJELOVAR,VELIKE SREDICE 11,43000,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""SJEVER"", DOM ZDRAVLJA OSJECKO-BARANJSKE zupanije",OSJECKO-BARANJSKA ZUPANIJA,DAKOVO,TRG NIKOLE SUBICA ZRINSKOG 2,31400,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""STANCIC"" DOMA ZDRAVLJA ZAGREBACKE zupanije",ZAGREBACKA ZUPANIJA,STANCIC,ZAGREBACKA ULICA BB,10370,Ambulanta doma zdravlja dislocirana jedinica
"AMBULANTA ""TEF"" DOM ZDRAVLJA SIBENIK",SIBENSKO-KNINSKA ZUPANIJA,SIBENIK,PRILAZ TVORNICI 39,22000,Ambulanta doma zdravlja dislocirana jedinica
